stream,verdict,fortran_instructions,nanoclo_instructions,official_instructions,fortran_over_nanoclo,fortran_over_official,fortran_peak_rss_kib,nanoclo_peak_rss_kib,official_peak_rss_kib,sha256
bad/bogus1.ndjson,reject,6248558,2494974,167668330,2.5044581626902724,0.03726737184058552,17960,47764,66932,83801e7b8b2f2f24f40aa1dc7d0b0162c931e2aaec3b226acb170e3884cad307
bad/constlevels.ndjson,reject,7329361,2686489,168987826,2.7282304152371366,0.043372124332790696,16512,46492,66988,2fa6a967f15f76cfdcea3ef1992ff31a4cc4aa647b0f8fabf0ff61eedb3afbf1
bad/ctor-num-fields.ndjson,reject,11087163,5027528,180095474,2.2052911490497915,0.061562696461766715,18128,41604,67696,8a6aa0949892f59986fde474bfdc2a1887416b370e1148cd27e608a40f2eb94b
bad/extra-rec.ndjson,reject,3006572,1267013,162313762,2.372960656283716,0.018523210619688552,18088,41572,66928,eab650028a71177bd4d9fcb6a84b4e92dd91cf4e7af67023af458d18729be0e2
bad/k-rec-conv.ndjson,reject,7074055,2732508,169334325,2.588850609037558,0.04177567070350326,18080,47776,66904,32570fea94f7a2655de489427200c35f2e1ffa7ec9d46b82c531195eaacd5ef3
bad/large-elim-param.ndjson,reject,2975451,2067145,164496114,1.4394012031086354,0.01808827532545845,17976,49736,66932,df7d23ff199c4956620f3b1b4d17976c6bbe99ec6c1b5a4e803a7f9f415e331f
bad/large-elim-prop-bool.ndjson,reject,9251783,3612882,169965274,2.5607764106328412,0.0544333720781105,18148,41660,66896,2ba29719a2a300ff80e72920b66355785764ac53500719eec7bf459d174262cf
bad/level-imax-leq.ndjson,reject,2940767,2055878,164979261,1.430419022918675,0.01782507075237778,18044,47704,67700,497eaa80a214386c679356c33a72c8beab5019c4938494b1608e3772a2756191
bad/level-imax-normalization.ndjson,reject,3268214,1879049,165041229,1.7392915245956864,0.019802409493690817,17912,49768,66896,d368d5569321b717b7ec95bd1f4fa5bbd7d6e1f8d6ebdf1a0644dc8bc76bc2ec
bad/nat-rec-k-lie.ndjson,reject,3848397,1892881,165367045,2.033089771623256,0.02327184959977969,17964,49824,67700,5a49d132bb0c7dca091baa481333f5e97e390fde72c8ec18c6124a690ec47d7c
bad/nat-rec-rules.ndjson,reject,3599346,2601871,176842673,1.383368353004434,0.020353379300029013,18024,41556,67684,934e59fdc4f2a978605c4a44e90b94b57e9940f3828620c0db337b7125cdd169
bad/nested-unused-param.ndjson,reject,26382312,8571252,183790386,3.07799980679602,0.1435456585852102,18096,53924,68480,0510cceb7cc66b39792a4d1589cbcee499b1ba56837203030a3324fb6355a618
bad/orphan-ctor.ndjson,reject,1855169,1186025,162314284,1.564190468160452,0.011429487006824366,18148,29240,66976,2c9b12979ea3da11272d6eca4b0a39523a863d6fb501daf61c4edb8996a97daa
bad/orphan-rec.ndjson,reject,3057993,1196389,162312067,2.556018987135455,0.018840207364249757,18052,33344,66972,738f28bc1175d70faf09f4b45ae7ca92e8b8d397f6c5d0183240cd695f6d7bc4
bad/perf/refute-cheap-first.ndjson,reject,9560505,3138550,247773527,3.04615347851715,0.03858565971819903,18032,45676,69320,a1f15a2ccfc57c1475e5a3d98034017f9297d355a8452ebe3ef3cfb4b293ad36
bad/perf/refute-cheap-last.ndjson,reject,192953202,124388538,1086774475,1.5512136817622215,0.17754668189092312,18136,47972,70012,c0bd59565940fc41816942f6d32a9612af85290a41f8595ba900ac916b4ea9eb
bad/proj-non-structure.ndjson,reject,3085987,1602940,164435902,1.9252043120765594,0.018767112062911907,18040,45704,66928,d67fc8c67eb839ec41b5caa7744ba38c0866872a1e5a3e3cad55700e403340cf
bad/proj-of-imax-prop.ndjson,reject,8075001,3348255,170407491,2.411704305675643,0.04738642035402071,17224,47752,67720,964f1ed8642fbb87eea5f9ce1b17c2fbf9489be344d33ca479a9bc4ec4a770c9
bad/proj-of-prop.ndjson,reject,2718022,1508262,164372902,1.8020887617668548,0.016535706110487724,17284,31308,66980,7ec1cb24885cae045ccb842f1fc786869ed708a19fa289f92b410297a299f5d5
bad/proj-of-stuck-prop.ndjson,reject,129635669,40576823,317911372,3.194820575282594,0.40777298460402356,18092,66216,67696,a2fc30b56ba4b26e7e5fccc53c6b63a73e083761b3b7f4caa4d462fde84ee711
bad/proj-of-subst-prop.ndjson,reject,126478654,40534171,304116884,3.120297045177019,0.4158883003680914,18056,64164,66920,1c9d8a266c198b7d4a1cfbe3fffd2de2d2b75e603fb3cedfa5d5309f7b295b9d
bad/rec-k-lie.ndjson,reject,3195344,1696188,164460189,1.883838348107639,0.019429285709990276,18032,39528,68520,baf41fbd040f172ad06afa78f9994b4501ebcd91e46c4a13e79227ccd246a188
bad/rec-missing-ih.ndjson,reject,138360742,44255580,315804720,3.1264021847640455,0.43812119717526704,18088,70328,66200,8a240552317ba17d44d175c10531e5f988f55569db5eff734701735ce598fa73
bad/rec-of-subst-prop.ndjson,reject,134774721,42335574,312653589,3.1834863275976844,0.43106724420169695,18012,66204,63552,fa498cf880a5390e65c3990e8361829a5012de4fae133dbfcd6a81af26f74ca8
bad/tutorial/002_badDef.ndjson,reject,1493783,1034828,162026234,1.4435084864344605,0.009219389744008986,18104,35396,60060,d1342aceb5741fc040523d3b4bd5e1ae3160dc17213d1dc0f6d766559a93a227
bad/tutorial/009_forallSortBad.ndjson,reject,1857571,1120084,162393999,1.658421154127726,0.011438667755204428,18080,35380,66988,36eef2fa43e86af2d031a9cb9ec8fbd452dd7e50d3444997fe71003cc7295051
bad/tutorial/010_nonTypeType.ndjson,reject,1715328,1074478,162307715,1.596429149782499,0.010568370086412713,18028,28012,66924,18cba14f24723f0325721cdd1a5699e45b61bcce7ed94f2bded0f42c848ba4c4
