stream,verdict,optimized_instructions,original_instructions,rust_instructions,fewer_instructions_percent,original_over_rust,optimized_over_rust,original_peak_rss_kib,optimized_peak_rss_kib,rust_peak_rss_kib
bad/bogus1.ndjson,reject,5004903,6248558,2494974,19.903072036780323,2.5044581626902724,2.0059940504390026,17960,18068,47764
bad/constlevels.ndjson,reject,5993602,7329361,2686489,18.22476747972982,2.7282304152371366,2.231016765748901,16512,18068,46492
bad/ctor-num-fields.ndjson,reject,9342734,11087163,5027528,15.733772471821695,2.2052911490497915,1.8583156573170752,18128,18132,41604
bad/extra-rec.ndjson,reject,1696411,3006572,1267013,43.57657159050241,2.372960656283716,1.3389057570837868,18088,18112,41572
bad/k-rec-conv.ndjson,reject,5798101,7074055,2732508,18.0370947073496,2.588850609037558,2.121897172853657,18080,18040,47776
bad/large-elim-param.ndjson,reject,3006810,2975451,2067145,-1.053924262237893,1.4394012031086354,1.4545714016191413,17976,18020,49736
bad/large-elim-prop-bool.ndjson,reject,8144452,9251783,3612882,11.968838871382959,2.5607764106328412,2.2542812081878125,18148,17248,41660
bad/level-imax-leq.ndjson,reject,2978034,2940767,2055878,-1.2672544271613573,1.430419022918675,1.4485460713135703,18044,18040,47704
bad/level-imax-normalization.ndjson,reject,3102076,3268214,1879049,5.083449247815475,1.7392915245956864,1.6508755226713088,17912,18028,49768
bad/nat-rec-k-lie.ndjson,reject,3267217,3848397,1892881,15.101872286045337,2.033089771623256,1.726055150852061,17964,18056,49824
bad/nat-rec-rules.ndjson,reject,3034845,3599346,2601871,15.683432490235727,1.383368353004434,1.166408711269698,18024,18040,41556
bad/nested-unused-param.ndjson,reject,20019922,26382312,8571252,24.116119921559566,3.07799980679602,2.33570568220372,18096,18068,53924
bad/orphan-ctor.ndjson,reject,1740128,1855169,1186025,6.201106206496554,1.564190468160452,1.4671933559579267,18148,17952,29240
bad/orphan-rec.ndjson,reject,1743153,3057993,1196389,42.99682831190261,2.556018987135455,1.4570118916171915,18052,18132,33344
bad/perf/refute-cheap-first.ndjson,reject,7710970,9560505,3138550,19.345578502390826,3.04615347851715,2.4568574660273055,18032,18092,45676
bad/perf/refute-cheap-last.ndjson,reject,157636485,192953202,124388538,18.303255211074443,1.5512136817622215,1.267291082720178,18136,18020,47972
bad/proj-non-structure.ndjson,reject,2722143,3085987,1602940,11.79019872734396,1.9252043120765594,1.6982188977753379,18040,18072,45704
bad/proj-of-imax-prop.ndjson,reject,6630748,8075001,3348255,17.885483853190852,2.411704305675643,1.9803593214973172,17224,18116,47752
bad/proj-of-prop.ndjson,reject,2475397,2718022,1508262,8.926528188513561,1.8020887617668548,1.6412248004657015,17284,18080,31308
bad/proj-of-stuck-prop.ndjson,reject,95104305,129635669,40576823,26.637239786219634,3.194820575282594,2.343808557905088,18092,18120,66216
bad/proj-of-subst-prop.ndjson,reject,92416329,126478654,40534171,26.931283598258403,3.120297045177019,2.2799609988323186,18056,18136,64164
bad/rec-k-lie.ndjson,reject,2589906,3195344,1696188,18.947506121406644,1.883838348107639,1.5268979617825382,18032,18124,39528
bad/rec-missing-ih.ndjson,reject,98347516,138360742,44255580,28.91949365232517,3.1264021847640455,2.222262503395052,18088,18132,70328
bad/rec-of-subst-prop.ndjson,reject,98137871,134774721,42335574,27.183769870315665,3.1834863275976844,2.318094730450566,18012,18096,66204
bad/tutorial/002_badDef.ndjson,reject,1409279,1493783,1034828,5.657046572360247,1.4435084864344605,1.3618485390808908,18104,18108,35396
bad/tutorial/009_forallSortBad.ndjson,reject,1734977,1857571,1120084,6.599693901336745,1.658421154127726,1.5489704343602801,18080,18084,35380
bad/tutorial/010_nonTypeType.ndjson,reject,1638799,1715328,1074478,4.461479087381537,1.596429149782499,1.52520479712009,18028,18032,28012
bad/tutorial/011_nonTypeAxiom.ndjson,reject,1609804,1708455,1073150,5.774281441419293,1.5920001863672366,1.5000736150584728,18044,17944,37424
bad/tutorial/012_nonPropThm.ndjson,reject,1397150,1437304,1076163,2.7937026544140986,1.3355820633119704,1.2982698717573453,18064,18088,37528
bad/tutorial/014_selfProof.ndjson,reject,1691236,1437938,1032272,-17.615363110231463,1.392983632220965,1.638362757102779,18028,18056,31284
bad/tutorial/019_tut06_bad01.ndjson,reject,1377539,1415595,1012981,2.6883395321401937,1.3974546413012683,1.3598863157354382,18116,18084,25160
bad/tutorial/046_inductBadNonSort.ndjson,reject,1653272,1754634,1107100,5.776817273573864,1.5848920603378196,1.4933357420287237,17968,18068,38192
bad/tutorial/047_inductBadNonSort2.ndjson,reject,1478804,1600109,1148118,7.581046041238437,1.3936799179178447,1.2880244016729987,18068,17908,27236
bad/tutorial/048_inductLevelParam.ndjson,reject,1438830,1435146,1056999,-0.256698621603646,1.3577553053503362,1.361240644503921,18056,18044,39512
bad/tutorial/049_inductTooFewParams.ndjson,reject,1607056,1540789,1109101,-4.300848461405171,1.3892233439515427,1.4489717347653641,18040,18104,37484
